iter	Passed	Remaining
0	1352	4057560
1	2580	3868251
2	4045	4041578
3	5795	4340808
4	7651	4582975
5	9740	4860756
6	11533	4931572
7	13433	5024306
8	15406	5119958
9	17309	5175517
10	19249	5230694
11	21394	5327223
12	23851	5480323
13	26099	5566648
14	28479	5667518
15	30603	5707475
16	32389	5683492
17	34323	5686290
18	36273	5691132
19	38347	5713805
20	40360	5725374
21	42486	5751074
22	44558	5767388
23	46419	5756061
24	48336	5752066
25	50301	5753697
26	52067	5733265
27	54110	5743408
28	56072	5744528
29	58096	5751587
30	60161	5761915
31	62296	5777967
32	64249	5776653
33	66126	5768568
34	67973	5758349
35	69829	5749317
36	71573	5731665
37	73549	5732953
38	75423	5726349
39	77422	5729290
40	79298	5723061
41	81042	5707718
42	82711	5687880
43	84523	5678448
44	86402	5673743
45	88278	5669014
46	90309	5674141
47	92216	5671298
48	94261	5676874
49	96165	5673739
50	98304	5684338
51	100166	5678653
52	102230	5684421
53	104109	5679771
54	105870	5668882
55	107783	5666318
56	109725	5665293
57	111477	5654616
58	113383	5651878
59	115313	5650378
60	117332	5653123
61	119367	5656464
62	121148	5647842
63	123071	5645915
64	124838	5636925
65	126672	5631176
66	128516	5625958
67	130315	5618893
68	132233	5617049
69	134265	5619974
70	136171	5617541
71	138157	5618387
72	140060	5615832
73	142064	5617301
74	144360	5630078
75	146806	5648192
76	148951	5654365
77	151266	5666672
78	153202	5664628
79	155111	5661569
80	157229	5666070
81	159025	5658977
82	161114	5662318
83	163279	5668136
84	165382	5671662
85	167205	5665541
86	169376	5671207
87	171305	5668665
88	173399	5671513
89	175423	5672038
90	177288	5667396
91	179252	5665941
92	181266	5666032
93	183219	5664221
94	185269	5665345
95	187178	5662161
96	189209	5662632
97	191078	5658268
98	193119	5658993
99	195106	5658081
100	197035	5655493
101	199131	5657665
102	201047	5654710
103	203113	5655926
104	205027	5652912
105	206998	5651451
106	208989	5650528
107	211130	5653604
108	213079	5651486
109	214878	5645449
110	216759	5641606
111	218935	5645419
112	220892	5643501
113	222762	5639414
114	224838	5640501
115	226825	5639359
116	228772	5637190
117	230718	5635016
118	232713	5634018
119	234755	5634136
120	236753	5633165
121	238798	5633306
122	240721	5630533
123	242677	5628562
124	244610	5626031
125	246580	5624376
126	248534	5622351
127	250714	5625412
128	252623	5622330
129	254550	5619695
130	256553	5618711
131	258636	5619469
132	260633	5618327
133	262514	5614684
134	264533	5613987
135	266540	5613019
136	268640	5613995
137	270663	5613335
138	272511	5609035
139	274600	5609705
140	276518	5606846
141	278588	5607076
142	280488	5603890
143	282758	5608047
144	284992	5611406
145	287018	5610615
146	289426	5617236
147	291485	5617012
148	293530	5616486
149	295772	5619679
150	297794	5618660
151	299904	5619255
152	301644	5612947
153	303545	5609671
154	305436	5606229
155	307432	5604733
156	309265	5600264
157	311297	5599412
158	313565	5602768
159	316038	5609688
160	318092	5609102
161	320187	5609204
162	321945	5603424
163	324056	5603808
164	325989	5601090
165	327925	5598430
166	329956	5597412
167	331752	5592394
168	333725	5590391
169	335501	5585118
170	337588	5585011
171	339651	5584499
172	341707	5583853
173	343825	5584196
174	346419	5592204
175	348816	5596925
176	350991	5598024
177	353313	5601401
178	355585	5603954
179	357901	5607118
180	360236	5610531
181	362434	5611755
182	364426	5609776
183	367049	5617452
184	369367	5620370
185	371495	5620371
186	373539	5619065
187	375561	5617441
188	377732	5618016
189	379907	5618626
190	382046	5618687
191	384254	5619724
192	386461	5620716
193	388596	5620622
194	390781	5621246
195	392880	5620602
196	395021	5620540
197	396907	5616848
198	398957	5615474
199	401232	5617261
200	403459	5618328
201	405646	5618806
202	407866	5619714
203	409984	5619204
204	411901	5615931
205	414019	5615389
206	416222	5615988
207	418343	5615462
208	420502	5615421
209	422486	5613030
210	424415	5609924
211	426466	5608433
212	428477	5606422
213	430398	5603222
214	432456	5601824
215	434589	5601369
216	436573	5599006
217	438599	5597167
218	440660	5595779
219	442652	5593519
220	444719	5592192
221	447141	5595308
222	449140	5593114
223	451207	5591755
224	453255	5590145
225	455397	5589702
226	457386	5587370
227	459800	5590208
228	461950	5589802
229	464215	5590773
230	466255	5589016
231	468370	5588144
232	470582	5588424
233	472812	5588882
234	475256	5591846
235	477458	5591929
236	479368	5588582
237	481692	5590061
238	483715	5588024
239	485817	5586899
240	487843	5584898
241	489909	5583354
242	492023	5582336
